Layer (type),Output Shape,Param #
EnhancedGenerator,"[1, 3, 256, 256]",8388263
Conv2d,"[1, 64, 128, 128]",4160
DeformableBlock,"[1, 128, 128, 128]",84498
Conv2d,"[1, 18, 128, 128]",10386
DeformConv2d,"[1, 128, 128, 128]",73856
GroupNorm,"[1, 128, 128, 128]",256
LeakyReLU,"[1, 128, 128, 128]",0
Conv2d,"[1, 256, 64, 64]",524544
ModuleList,[],7087104
ResidualBlock,"[1, 256, 64, 64]",1181184
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
ResidualBlock,"[1, 256, 64, 64]",1181184
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
ResidualBlock,"[1, 256, 64, 64]",1181184
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
ResidualBlock,"[1, 256, 64, 64]",1181184
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
ResidualBlock,"[1, 256, 64, 64]",1181184
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
ResidualBlock,"[1, 256, 64, 64]",1181184
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
Conv2d,"[1, 256, 64, 64]",590080
GroupNorm,"[1, 256, 64, 64]",512
AttentionModule,"[1, 256, 64, 64]",65792
Conv2d,"[1, 256, 64, 64]",65792
Sigmoid,"[1, 256, 64, 64]",0
ConvTranspose2d,"[1, 128, 128, 128]",524416
DeformableBlock,"[1, 64, 128, 128]",94674
Conv2d,"[1, 18, 128, 128]",20754
DeformConv2d,"[1, 64, 128, 128]",73792
GroupNorm,"[1, 64, 128, 128]",128
LeakyReLU,"[1, 64, 128, 128]",0
ConvTranspose2d,"[1, 3, 256, 256]",3075
Tanh,"[1, 3, 256, 256]",0
